"# of Use","# of Use"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","%s (các) sản phẩm"
"%s and above","%s và ở trên"
"%s-%s of %s","%s-%s của %s"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Xin hãy cẩn thận vì một khi bạn nhấp chuột vào hàng, dữ liệu từ các tệp được chọn sẽ được tải và các dữ liệu chưa được lưu sẽ bị mất."
"Please click on the Close Window button if it is not closed automatically.","Vui lòng nhấp chuột vào nút Đóng cửa sổ nếu nó không được đóng tự động."
"Please enter a new group name","Vui lòng nhập vào một tên nhóm mới"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Vui lòng tải lại ""Đường dẫn URL ghi đè danh mục hàng"" and ""Thuộc tính sản phẩm"" ở hệ thống -&gt; <a href=""%s"">Quản lý chỉ mục</a>"
"Please select a static block ...","Vui lòng chọn một khối tĩnh ..."
"Please select items.","Vui lòng chọn sản phẩm."
"Please select one or more attributes.","Vui lòng chọn một hoặc nhiều thuộc tính."
"Please select product(s).","Vui lòng chọn (các) sản phẩm."
"Please select products for attributes update","Vui lòng lựa chọn sản phẩm cho cập nhật thuộc tính"
"Please specify date required option(s).","Vui lòng xác định(các) tùy chọn có yêu cầu ngày tháng."
"Please specify the number of products, that will not be divided into subintervals.","Vui lòng xác định số lượng sản phẩm, mà sẽ không bị chia ra thành các sản phẩm phụ."
"Please specify the product required option(s)","Vui lòng xác định(các) tùy chọn có yêu cầu sản phẩm"
"Please specify the product required option(s).","Vui lòng xác định(các) tùy chọn có yêu cầu sản phẩm."
"Please specify the product\'s option(s).","Vui lòng xác định (các) tùy chọn của sản phẩm."
"Please specify the product\'s required option(s).","Vui lòng xác định (các) tùy chọn có yêu cầu sản phẩm."
"Please specify the quantity of product(s).","Vui lòng xác định số lượng (các) sản phẩm."
"Please specify time required option(s).","Vui lòng xác định (các) tùy chọn có yêu cầu thời gian."
"Please wait...","Xin vui lòng chờ..."
"Position","Vị trí"
"Position in Layered Navigation","Vị trí trong Điều hướng theo lớp"
"Position of attribute in layered navigation block","Vị trí của thuộc tính trong khối điều hướng theo lớp"
"Prev","Trước đó"
"Previous","Quay lại"
"Price","Giá"
"Price Navigation Step Calculation","Tính giá theo điều hướng bước"
"Price Type","Loại giá"
"Price is not available","Giá không có sẵn"
"Price values for options should be specified in system base currency.","Các tùy chọn giá cần được xác định trong hệ thống ngoại tệ cơ sở."
"Price:","Giá:"
"Price: %s","Giá: %s"
"Print This Page","In trang này"
"Product","Sản phẩm"
"Product API","API sản phẩm"
"Product Alerts","Thông báo sản phẩm"
"Product Attribute","Thuộc tính sản phẩm"
"Product Attributes","Các thuộc tính sản phẩm"
"Product Categories","Danh mục sản phẩm"
"Product Description","Mô tả sản phẩm"
"Product Extra Info","Thông tin thêm về sản phẩm"
"Product Flat Data","Dữ liệu phẳng sản phẩm"
"Product ID","ID sản phẩm"
"Product Image","Hình ảnh sản phẩm"
"Product Image Placeholders","Hình ảnh mặc định sản phẩm"
"Product Image Watermarks","Dấu mờ hình ảnh sản phẩm"
"Product Images","Các hình ảnh sản phẩm"
"Product Images API","API hình ảnh sản phẩm"
"Product In Websites","Sản phẩm trên Websites"
"Product Info Column","Cột thông tin sản phẩm"
"Product Information","Thông tin sản phẩm"
"Product Link Block Template","Mẫu khối liên kết sản phẩm"
"Product Link Inline Template","Mẫu liên kết sản phẩm nội tuyến"
"Product Listing Sort by","Sắp xếp danh sách sản phẩm bởi"
"Product Name","Tên sản phẩm"
"Product Prices","Giá sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Product Tags","Thẻ đánh dấu sản phẩm"
"Product Tier Price API","API tầng giá sản phẩm"
"Product Type","Loại sản phẩm"
"Product URL Suffix","Đuôi URL sản phẩm"
"Product View Extra Hint","Gợi ý xem thêm sản phẩm"
"Product attribute sets API","API tập thuộc tính sản phẩm"
"Product attributes API","API thuộc tính sản phẩm"
"Product collection expected.","Bộ sản phẩm dự kiến."
"Product is not loaded","Không tải được sản phẩm"
"Product links API (related, cross sells, up sells)","API liên kết sản phẩm (liên quan, bán chéo, bán gia tăng)"
"Product types API","API loại sản phẩm"
"Product with this combination of attributes already associated to configurable.","Sản phẩm có sự kết hợp giữa các thuộc tính này đã được liên kết với cấu hình."
"Products","Các sản phẩm"
"Products Comparison List","Danh sách sản phẩm so sánh"
"Products Information","Thông tin sản phẩm"
"Products Reviews","Đánh giá sản phẩm"
"Products Sitemap","Sơ đồ trang sản phẩm"
"Products only","Chỉ các sản phẩm"
"Products per Page on Grid Allowed Values","Giá trị được phép các sản phẩm trên một trang dạng lưới"
"Products per Page on Grid Default Value","Giá trị mặc định các sản phẩm trên một trang dạng lưới"
"Products per Page on List Allowed Values","Giá trị được phép các sản phẩm trên một trang danh sách"
"Products per Page on List Default Value","Giá trị mặc định các sản phẩm trên một trang danh sách"
"Properties","Thuộc tính"
"Qty","Số lượng"
"Qty Increments","Số lượng tăng"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Qty for Item\'s Status to Become Out of Stock","Số lượng sản phẩm có tình trạng hết hàng"
"Qty:","Số lượng:"
"Quantity","Số lượng"
"Quick Create","Tạo nhanh"
"Quick Overview","Xem nhanh"
"Quick simple product creation","Tạo nhanh sản phẩm đơn giản"
"Records for ""%s"" store found.","Bản ghi cho ""%s"" trang tìm thấy."
"Redirect","Chuyển hướng"
"Redirect URL","Chuyển hướng URL"
"Regular Price:","Giá thông thường:"
"Related Products","Các sản phẩm liên quan"
"Remove","Xóa"
"Remove Product From Websites","Xóa sản phẩm khỏi websites"
"Remove This Item","Xóa sản phẩm này"
"Remove attribute from attribute set","Xóa thuộc tính khỏi tập thuộc tính"
"Remove attribute set","Xóa tập thuộc tính"
"Remove custom option","Xóa tùy chỉnh"
"Remove group from attribute set","Xóa nhóm khỏi tập thuộc tính"
"Remove option","Xóa tùy chọn"
"Remove product assignment","Xóa sản phẩm được gán"
"Remove product image","Xóa hình ảnh sản phẩm"
"Remove product link","Xóa liên kết sản phẩm"
"Remove value from custom option","Xóa giá trị khỏi tùy chỉnh"
"Rename existing group","Đổi tên nhóm đang tồn tại"
"Rename group","Đổi tên nhóm"
"Reorganize EAV category structure to flat structure","Tổ chức lại cấu trúc danh mục EAV thành cấu trúc phẳng"
"Reorganize EAV product structure to flat structure","Tổ chức lại cấu trúc sản phẩm EAV thành cấu trúc phẳng"
"Reset","Thiết lập lại"
"Results","Kết quả"
"Results per page","Kết quả trên mỗi trang"
"Retrieve attribute data","Lấy dữ liệu thuộc tính"
"Retrieve attribute list","Lấy danh sách thuộc tính"
"Retrieve attribute options","Lấy tùy chọn thuộc tính"
"Retrieve categories tree","Lấy cây danh mục"
"Retrieve category attributes","Lấy thuộc tính loại mặt hàng"
"Retrieve category data","Lấy dữ liệu loại mặt hàng"
"Retrieve hierarchical tree","Lấy cây thứ bậc"
"Retrieve linked products","Lấy sản phẩm liên kết"
"Retrieve list of assigned products","Lấy danhh sách sản phẩm đã gán"
"Retrieve list of option values","Lấy danh sách giá trị tùy chọn"
"Retrieve list of product custom options","Lấy danh sách các lựa chọn tùy chỉnh sản phẩm"
"Retrieve one level of categories by website/store view/parent category","Lấy một mức độ của danh mục bằng website/cửa hàng/loại mặt hàng chính"
"Retrieve option value info","Lấy thông tin giá trị tùy chọn"
"Retrieve product","Lấy sản phẩm"
"Retrieve product attribute sets","Lấy tập thuộc tính sản phẩm"
"Retrieve product image","Lấy hình ảnh sản phẩm"
"Retrieve product image list","Lấy danh sách hình ảnh sản phẩm"
"Retrieve product image types","Lấy loại hình ảnh sản phẩm"
"Retrieve product link type attributes","Lấy thuộc tính liên kết sản phẩm"
"Retrieve product link types","Lấy loại liên kết sản phẩm"
"Retrieve product tier prices","Lấy tầng giá sản phẩm"
"Retrieve product types","Lấy loại sản phẩm"
"Retrieve products data","Lấy dữ liệu sản phẩm"
"Retrieve products list by filters","Lấy danh sách sản phẩm được lọc"
"Reviews","Đánh giá"
"Roll Over for preview","Trượt để xem lại"
"Root","Gốc"
"SKU","SKU"
"SKU length should be %s characters maximum.","Độ dài SKU nên là %s ký tự tối đa."
"Save","Lưu"
"Save Attribute","Lưu thuộc tính"
"Save Attribute Set","Lưu tập thuộc tính"
"Save Category","Lưu loại mặt hàng"
"Save Search","Lưu tìm kiếm"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Saved %d record(s)","Đã lưu %d (các) bản ghi"
"Scope","Phạm vi"
"Scope must not be changed, because the attribute is used in configurable products.","Phạm vi không thể thay đổi, vì thuộc tính được dùng trong sản phẩm cấu hình."
"Search","Tìm kiếm"
"Search Engine Optimizations","Tối ưu hóa công cụ tìm kiếm"
"Search Information","Thông tin tìm kiếm"
"Search Query","Truy vấn tìm kiếm"
"Search Term with such search query already exists.","Truy vấn tìm kiếm đã tồn tại."
"Searchable","Có thể tìm kiếm"
"See price before order confirmation.","Xem giá trước khi xác nhận đặt hàng."
"Select Category...","Chọn loại mặt hàng..."
"Select Configurable Attributes ","Chọn thuộc tính cấu hình "
"Select Product...","Chọn sản phẩm..."
"Select type of option","Chọn kiểu tùy chọn"
"Select type options required values rows.","Chọn dòng giá trị theo yêu cầu tùy chọn."
"Selected Product Types","Đã chọn loại sản phẩm"
"Send Count","Gửi lượt đếm"
"Set Ascending Direction","Sắp xếp giảm dần"
"Set Descending Direction","Sắp xếp tăng dần"
"Set Name","Thiết lập tên"
"Set Root Category for Store","Thiết lập loại mặt hàng gốc cho cửa hàng"
"Set root category for this store in the <a href=""%s"">configuration</a>","Thiết lập loại mặt hàng gốc cho cửa hàng này ở <a href=""%s"">cấu hình</a>"
"Set special price","Thiết lập giá đặc biệt"
"Set/Get current store view","Thiết lập/Lấy thông tin cửa hàng hiện tại"
"Settings","Cài đặt"
"Share Facebook","Chia sẻ Facebook"
"Share on Facebook","Chia sẻ qua Facebook"
"Share on Twitter","Chia sẻ qua Twitter"
"Shop By","Mua sắm bằng"
"Shopping Options","Tùy chọn mua sắm"
"Show","Hiển thị"
"Show Details","Hiển thị chi tiết"
"Show Tags","Hiển thị thẻ đánh dấu"
"Simple Product","Sản phẩm đơn giản"
"Site Map","Sơ đồ trang"
"Sitemap","Sơ đồ trang"
"Skip import row, is not valid value ""%s"" for field ""%s""","Bỏ qua nhập hàng, giá trị ""%s"" không đúng cho trường ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Bỏ qua nhập hàng, không xác định được trường bắt buộc ""%s"" cho khách hàng mới."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Bỏ qua nhập hàng, giá trị ""%s"" is không đúng cho trường ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Bỏ qua nhập hàng, không xác định được trường bắt buộc ""%s"" cho sản phẩm mới."
"Skipping import row, required field ""%s"" is not defined.","Bỏ qua nhập hàng, không xác định được trường bắt buộc ""%s""."
"Skipping import row, store ""%s"" field does not exist.","Bỏ qua nhập hàng, trường ""%s"" không tồn tại."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Bỏ qua nhập hàng, giá trị ""%s"" không đúng cho trường ""%s""."
"Small Image Width","Chiều rộng hình ảnh nhỏ"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Một số sản phẩm không xác định được giá trị SKU. Hãy điền nó vào trước khi thực hiện các hoạt động trên sản phẩm này."
"Some of the selected item options are not currently available.","Một số tùy chọn sản phẩm đã chọn hiện không có sẵn."
"Sort By","Sắp xếp theo"
"Sort Order","Thứ tự sắp xếp"
"Source Model","Kiểu nguồn"
"Special Expires On: %s","Ngày hết hạn đặc biệt: %s"
"Special Price:","Giá đặc biệt:"
"Special Price: %s","Giá đặc biệt: %s"
"Starting at:","Bắt đầu với:"
"Static","Tĩnh"
"Static block and products","Khối tĩnh và sản phẩm"
"Static block only","Chỉ khối tĩnh"
"Status","Tình trạng"
"Stock Availability","Còn hàng"
"Store","Cửa hàng"
"Store View","Cửa hàng"
"Stretch","Kéo dãn"
"Subscribe to RSS Feed","Đăng kí nhận nguồn cấp RSS"
"Super product attributes configuration","Cấu hình thuộc tính siêu phẩm"
"Synonym For","Đồng bộ cho"
"System Properties","Thuộc tính hệ thống"
"Tag Name","Thẻ tên"
"Tax","Thuế"
"Template","Mẫu"
"Text","Văn bản"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Chế độ danh mục phẳng có một giới hạn %2\$d có thể lọc và/hoặc sắp xếp thuộc tính. Hiện có %1\$d của chúng. Hãy giảm số thuộc tính có thể lọc/sắp xếp để sử dụng chế độ này"
"The From Date value should be less than or equal to the To Date value.","Giá trị Từ Ngày phải bé hơn hoặc bằng giá trị Đến Ngày."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Mã thuộc tính \'%s\' được bảo mật bởi hệ thống. Vui lòng thử mã thuộc tính khác"
"The attribute model is not defined","Không xác định được kiểu thuộc tính"
"The attribute set has been saved.","Tập thuộc tính đã được lưu."
"The base directory to upload file is not specified.","Không xác định được thư mục tập tin tải lên."
"The category has been deleted.","Loại mặt hàng đã bị xóa."
"The category has been saved.","Loại mặt hàng đã được lưu."
"The comparison list was cleared.","Danh sách so sánh đã được xóa."
"The file '%s' for '%s' has an invalid extension","Tệp tin '%s' cho '%s' có phần mở rộng không đúng"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Tệp tin '%s' mà bạn tải lên lớn hơn %s Megabytes cho phép bởi máy chủ"
"The file you uploaded is larger than %s Megabytes allowed by server","Tệp tin bạn tải lên lớn hơn %s Megabytes cho phép bởi máy chủ"
"The filters must be an array.","Các bộ lọc phải là một mảng."
"The image contents is not valid base64 data.","Nội dung hình ảnh có dữ liệu không đúng."
"The image is not specified.","Hình ảnh không được xác định."
"The model collection resource name is not defined.","Không xác định được tên bộ sưu tập nguồn."
"The product %s has been added to comparison list.","Sản phẩm %s đã được thêm vào danh sách so sánh."
"The product %s has been removed from comparison list.","Sản phẩm %s đã bị xóa khỏi danh sách so sánh."
"The product attribute has been deleted.","Thuộc tính sản phẩm đã bị xóa."
"The product attribute has been saved.","Thuộc tính sản phẩm đã được lưu."
"The product has been created.","Sản phẩm đã được tạo."
"The product has been deleted.","Sản phẩm đã bị xóa."
"The product has been duplicated.","Sản phẩm đã được sao chép."
"The product has been saved.","Sản phẩm đã được lưu."
"The product has required options","Sản phẩm có tùy chọn bắt buộc"
"The review has been deleted","Đánh giá đã bị xóa"
"The review has been saved.","Đánh giá đã được lưu lại."
"The review was removed by another user or does not exist.","Đánh giá đã bị xóa bởi người dùng khác hoặc không tồn tại."
"The search was deleted.","Tìm kiếm đã bị xóa."
"The text is too long","Văn bản quá dài"
"There are no %s available.","%s không có sẵn."
"There are no customers for this alert","Không có khách hàng nào cho thông báo này"
"There are no customers for this alert.","Không có khách hàng nào cho thông báo này."
"There are no products matching the selection.","Không có sản phẩm nào phù hợp với lựa chọn."
"There was an error while request processing.","Đã có lỗi xảy ra khi xử lý yêu cầu."
"This Attribute no longer exists","Thuộc tính này không tồn tại"
"This attribute cannot be deleted.","Không thể xóa thuộc tính này."
"This attribute cannot be edited.","Không thể chỉnh sửa thuộc tính này."
"This attribute cannot be updated.","Không thể cập nhật thuộc tính này."
"This attribute is used in configurable products.","Thuộc tính này được sử dụng trong các sản phẩm cấu hình."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Thuộc tính này được sử dụng trong các sản phẩm cấu hình. Bạn không thể xóa nó khỏi tập thuộc tính."
"This attribute no longer exists","Thuộc tính này không còn tồn tại"
"This attribute set no longer exists.","Tập thuộc tính này không còn tồn tại."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Nhóm này chứa thuộc tính được sử dụng trong sản phẩm cấu hình. Vui lòng di chuyển thuộc tính đến nhóm khác và thử lại."
"This group contains system attributes. Please move system attributes to another group and try again.","Nhóm này thuộc tính hệ thống. Vui lòng di chuyển những thuộc tính này đến nhóm khác và thử lại."
"This is a required option","Đây là tùy chọn bắt buộc"
"This product no longer exists.","Sản phẩm này không tồn tại."
"This search no longer exists.","Tìm kiếm này không tồn tại."
"This setting will be applied when all prices in the specific price interval are equal.","Cài đặt này được áp dụng khi tất cả giá trong khoảng giá bằng nhau."
"Tier Pricing","Giá theo tầng"
"Tile","Tile"
"Time Format","Định dạng thời gian"
"Title","Tiêu đề"
"To reindex the enabled product(s), the store or product must be specified","Để chỉ mục lại (các) sản phẩm, cửa hàng hoặc sản phẩm phải được xác định"
"To see product price, add this item to your cart. You can always remove it later.","Để xem giá, hãy chọn mua. Bạn có thể gỡ nó ra sau bất cứ lúc nào."
"Top/Left","Bên trên/Trái"
"Top/Right","Bên trên/Phải"
"Total Qty Base Items","Tổng lượng sản phẩm cơ sở"
"Total incl. Tax: %1$s","Tổng số bao gồm thuế: %1$s"
"Total of %d record(s) have been deleted.","Tổng số của %d (các) bản ghi đã bị xóa."
"Total of %d record(s) have been updated.","Tổng số của %d (các) bản ghi được cập nhật."
"Total of %d record(s) were updated","Tổng số của %d (các) bản ghi đã được cập nhật"
"Type","Loại"
"URL Rewrite Management","Quản lý ghi đè URL"
"Unable to complete this request.","Không thể hoàn thành yêu cầu này."
"Unable to find a search term to delete.","Không thể tìm thấy tìm kiếm để xóa."
"Unable to find an attribute to delete.","Không thể tìm thấy thuộc tính để xóa."
"Unable to get the product ID.","Không thể lấy ID sản phẩm."
"Unassigned Attributes","Thuộc tính chưa được gán"
"Unknown EAV indexer type ""%s"".","Không rõ kiểu chỉ mục EAV ""%s""."
"Unknown attribute: %s.","Không rõ thuộc tính: %s."
"Unsupported product type ""%s"".","Loại sản phẩm không hỗ trợ ""%s""."
"Up-sells","Bán chéo"
"Update","Cập nhật"
"Update Attributes","Cập nhật các thuộc tính"
"Update Tier Price","Cập nhật tầng giá"
"Update assigned product","Cập nhật sản phẩm đã gán"
"Update attribute","Cập nhật thuộc tính"
"Update attributes","Cập nhật các thuộc tính"
"Update category","Cập nhật loại mặt hàng"
"Update custom option of product","Cập nhật tùy chỉnh cho sản phẩm"
"Update product","Cập nhật sản phẩm"
"Update product image","Cập nhật hình ảnh sản phẩm"
"Update product link","Cập nhật liên kết sản phẩm"
"Update product tier prices","Cập nhật tầng giá sản phẩm"
"Update value of custom option","Cập nhật giá trị tùy chỉnh"
"Upload new product image ","Tải ảnh mới của sản phẩm "
"Use Canonical Link Meta Tag For Categories","Sử dụng thẻ liên kết Meta cho các danh mục"
"Use Canonical Link Meta Tag For Products","Sử dụng thẻ liên kết Meta cho các sản phẩm"
"Use Categories Path for Product URLs","Sử dụng đường dẫn danh mục cho URLs sản phẩm"
"Use Config Settings","Sử dụng cài đặt cấu hình"
"Use Default Value","Sử dụng giá trị mặc định"
"Use Flat Catalog Category","Sử dụng cấu trúc danh mục phẳng"
"Use Flat Catalog Product","Sử dụng danh mục sản phẩm phẳng"
"Use In Layered Navigation","Sử dụng trong điều hướng theo tầng"
"Use In Search Results Layered Navigation","Sử dụng trong kết quả tìm kiếm theo tầng"
"Use JavaScript Calendar","Sử dụng lịch JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Sử dụng URLs tĩnh cho nội dung đa phương tiện trong danh mục WYSIWYG"
"Use To Create Configurable Product","Sử dụng để tạo sản phẩm cấu hình"
"Use Tree Like Category Sitemap","Sử dụng cây như sơ đồ trang danh mục"
"Use config","Sử dụng cấu hình"
"Use default","Sử dụng mặc định"
"Use for Promo Rule Conditions","Sử dụng cho các điều kiện khuyến mãi"
"Use four-digit year format.","Sử dụng cho định dạng năm bốn-chữ số."
"Use in Advanced Search","Sử dụng trong tìm kiếm nâng cao"
"Use in Layered Navigation","Sử dụng trong điều hướng theo lớp"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Sử dụng trong điều hướng theo lớp<br/>(Chỉ có thể được sử dụng với danh mục đầu vào dạng 'Thả')"
"Use in Quick Search","Sử dụng trong tìm kiếm nhanh"
"Used for Sorting in Product Listing","Được sử dụng cho liệt kê danh sách sản phẩm"
"Used in Product Listing","Được sử dụng trong liệt kê sản phẩm"
"Value for ""%s"" is invalid.","Giá trị cho ""%s"" không đúng."
"Value for ""%s"" is invalid: %s","Giá trị cho ""%s"" không đúng: %s"
"Varchar","Varchar"
"View Details","Hiển thị chi tiết"
"View as","Hiển thị dưới dạng"
"Virtual Product","Sản phẩm ảo"
"Visibility","Hiển thị"
"Visible","Hiển thị"
"Visible on Catalog Pages on Front-end","Hiển thị trên trang danh mục trên giao diện người dùng"
"Visible on Product View Page on Front-end","Hiển thị trên trang xem sản phẩm trên giao diện người dùng"
"WYSIWYG Editor","Chỉnh sửa WYSIWYG"
"Watermark","Dấu mờ"
"Watermark Default Size","Kích thước mặc định cho dấu mờ"
"Watermark Opacity, Percent","Độ mờ, Phần trăm"
"Watermark Position","Vị trí dấu mờ"
"We Also Recommend","Chúng tôi còn đề xuất"
"Website","Website"
"Websites","Websites"
"What's this?","Đây là gì?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Dù hiển thị ""Tất cả"" tùy chọn trong ""Hiển thị X mỗi trang"" thả xuống."
"Will make search for the query above return results for this search.","Sẽ trả về kết quả tìm kiếm cho truy vấn trên."
"Wrong BuyRequest instance in options group.","Đối tượng yêu cầu mua trong nhóm tùy chọn bị lỗi."
"Wrong configuration item instance in options group.","Đối tượng sản phẩm cấu hình trong nhóm tùy chọn bị lỗi."
"Wrong configuration item option instance in options group.","Đối tượng tùy chọn sản phẩm cấu hình trong nhóm tùy chọn bị lỗi."
"Wrong option instance type in options group.","Kiểu đối tượng tùy chọn trong nhóm tùy chọn sai."
"Wrong option type to get group instance.","Kiểu tùy chọn để nhóm đối tượng sai."
"Wrong product instance type in options group.","Kiểu đối tượng sản phẩm trong nhóm tùy chọn sai."
"Wrong product type filter specified","Xác định bộ lọc kiểu sản phẩm sai"
"Wrong product type to extract configurable options.","Tùy chọn kiểu sản phẩm cấu hình sai."
"Year Range","Phạm vi năm"
"Yes","Có"
"You cannot remove system attribute from this set.","Bạn không thể xóa thuộc tính hệ thống khỏi tập này."
"You have no items to compare.","Bạn không có sản phẩm nào để so sánh."
"You may also be interested in the following product(s)","Bạn có thể sẽ thích (các) sản phẩm dưới đây"
"Zoom In","Thu nhỏ"
"Zoom Out","Phóng to"
"and","và"
"and above","và phía trên"
"categories","các danh mục"
"each","mỗi"
"ex. http://domain.com","ví dụ http://domain.com"
"leave blank if its not an image","để trống nếu không phải là hình ảnh"
"per page","trên mỗi trang"
"products","các sản phẩm"
"px.","px."
"save","lưu"
"select all","chọn tất cả"
"unselect all","bỏ chọn tất cả"
"x","x"
